OccNo,OccAcID,RegistrationNo,RegCountry,YearManufacture,MaxTakeOffWeight,WeightCategory,AircraftType,AircraftMake,AircraftModel,Organization,OperatorType,CARSubpart,StateOperator,OperationType,Departure,Destination,DamageLevel,PRODUCTION_DT
A04A0100,A04A0100_1,D-AIGM,GERMANY,,276500,OVER 272001,AEROPLANE,AIRBUS,A340-300,LUFTHANSA GERMAN AIRLINES,COMMERCIAL,701 - FOREIGN,N/A,AIR TRANSPORT,KBOS - BOSTON,EDDF - FRANKFURT/MAIN,NONE,2019-03-29T13:28:51
A04A0102,A04A0102_1,N760NA,UNITED STATES,,181437,27001-272000,AEROPLANE,BOEING,767-300,NORTH AMERICAN AIRLINES,COMMERCIAL,701 - FOREIGN,N/A,AIR TRANSPORT,LGAV - ATHINA GREECE,KJFK - NEW YORK,NONE,2019-03-29T13:28:51
A04A0103,A04A0103_1,N77014,UNITED STATES,1999,297562,OVER 272001,AEROPLANE,BOEING,777-200,CONTINENTAL AIRLINES,COMMERCIAL,701 - FOREIGN,N/A,AIR TRANSPORT,KEWR - NEWARK INTL,EGKK - LONDON GATWICK,NONE,2019-03-29T13:28:51
A04A0104,A04A0104_1,C-FDSB,CANADA,1953,2313,2251-5700,AEROPLANE,DE HAVILLAND,DHC-2 MK I,E.J. AVIATION,COMMERCIAL,703 - AIR TAXI,N/A,FERRY,RIVER OF PONDS,BURNT BERRY POND,SUBSTANTIAL,2019-03-29T13:28:51
A04A0105,A04A0105_1,N557TZ,UNITED STATES,2002,,27001-272000,AEROPLANE,BOEING,757-200,AMERICAN TRANS AIR,COMMERCIAL,701 - FOREIGN,N/A,AIR TRANSPORT,KMCI - KANSAS CITY,CYQX - GANDER,NONE,2019-03-29T13:28:51
A04A0107,A04A0107_1,C-FWCC,CANADA,2003,70080,27001-272000,AEROPLANE,BOEING,737-700,WESTJET,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYQX GANDER,CYHZ HALIFAX INTL,NONE,2019-03-29T13:28:51
A04A0107,A04A0107_2,C-GORC,CANADA,1998,7688,5701-27000,AEROPLANE,BEECH,1900D,AIR GEORGIAN,COMMERCIAL,704 - COMMUTER,N/A,AIR TRANSPORT,CYFC FREDERICTON,CYHZ HALIFAX INTL,,2019-03-29T13:28:51
A04A0109,A04A0109_1,C-GORA,CANADA,1998,7688,5701-27000,AEROPLANE,BEECH,1900D,AIR GEORGIAN,COMMERCIAL,704 - COMMUTER,N/A,AIR TRANSPORT,,,NONE,2019-03-29T13:28:51
A04A0109,A04A0109_2,N46625,UNITED STATES,1995,,27001-272000,AEROPLANE,BOEING,737-500,CONTINENTAL AIRLINES,COMMERCIAL,701 - FOREIGN,N/A,AIR TRANSPORT,KEWR NEWARK,CYHZ HALIFAX INTL,NONE,2019-03-29T13:28:51
A04A0110,A04A0110_1,C-GMSX,CANADA,1979,89358,27001-272000,AEROPLANE,BOEING,727-200,MORNINGSTAR AIR EXPRESS INC,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYMX MIRABEL,CYQM MONCTON/GREATER MONCTON INTL,NONE,2019-03-29T13:28:51
A04A0111,A04A0111_1,C-GVHB,CANADA,1981,1950,0-2250,HELICOPTER,AEROSPATIALE,AS 350 D,CANADIAN HELICOPTERS,COMMERCIAL,703 - AIR TAXI,N/A,AIR TRANSPORT,29 NM WNW NAIN,30 NM WNW NAIN,SUBSTANTIAL,2019-03-29T13:28:51
A04A0113,A04A0113_1,,CANADA,,,27001-272000,AEROPLANE,BOEING,737-700,WESTJET,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYQX - GANDER,CYHZ - HALIFAX,NONE,2019-03-29T13:28:51
A04A0113,A04A0113_2,,UNITED STATES,,,OVER 272001,AEROPLANE,LOCKHEED,L-500 (GALAXY C5),UNITED STATES MILITARY,STATE,N/A,MILITARY,OTHER,KOFF - OFFUTT AFB,LERT - ROTA SPAIN,NONE,2019-03-29T13:28:51
A04A0120,A04A0120_1,C-GBBB,CANADA,1982,30933,27001-272000,AEROPLANE,GRUMMAN,G-1159,CHARTRIGHT AIR,COMMERCIAL,704 - COMMUTER,N/A,AIR TRANSPORT,CYYT ST. JOHN'S INTL,CYYZ TORONTO/LESTER B. PEARSON,NONE,2019-03-29T13:28:51
A04A0121,A04A0121_1,N485EV,UNITED STATES,1973,351538,OVER 272001,AEROPLANE,BOEING,747-100,EVERGREEN INTERNATIONAL AIRLINES,COMMERCIAL,701 - FOREIGN,N/A,AIR TRANSPORT,CYQX GANDER INTL,EDDF FRANKFURT/MAIN INTL,MINOR,2019-03-29T13:28:51
A04A0124,A04A0124_1,C-IGJE,CANADA,,249,0-2250,BASIC ULTRALIGHT,,,,PRIVATE,,N/A,PLEASURE/TRAVEL,CYCH MIRAMICHI,CYCH MIRAMICHI,SUBSTANTIAL,2019-03-29T13:28:51
A04A0125,A04A0125_1,C-GVCH,CANADA,1983,8600,5701-27000,HELICOPTER,AEROSPATIALE,AS 332 L,COUGAR HELICOPTERS,COMMERCIAL,704 - COMMUTER,N/A,AIR TRANSPORT,CYYT ST. JOHN`S INTL,HIBERNIA OIL PRODUCTION PLATFORM,NONE,2019-03-29T13:28:51
A04A0125,A04A0125_2,9QCDC,"ZAIRE, REPUBLIC OF",,,27001-272000,AEROPLANE,BOEING,727-100,DEMOCRATIC REPUBLIC OF THE CONGO,STATE,N/A,PROVINCIAL,AIR TRANSPORT,LPAZ SANTA MARIA,CYYT ST. JOHN`S INTL,NONE,2019-03-29T13:28:51
A04A0126,A04A0126_1,C-GNWT,CANADA,1975,1054,0-2250,AEROPLANE,PIPER,PA-28,,PRIVATE,,N/A,PLEASURE/TRAVEL,CCA3 CABLE HEAD AIR PARK,CAPE ARGOS,SUBSTANTIAL,2019-03-29T13:28:51
