OccNo,OccAcID,RegistrationNo,RegCountry,YearManufacture,MaxTakeOffWeight,WeightCategory,AircraftType,AircraftMake,AircraftModel,Organization,OperatorType,CARSubpart,StateOperator,OperationType,Departure,Destination,DamageLevel,PRODUCTION_DT
A14C0027,A14C0027_1,C-FJTS,CANADA,1987,7257,5701-27000,AEROPLANE,FAIRCHILD,SA-227-AC,PERIMETER AVIATION,COMMERCIAL,704 - COMMUTER,N/A,AIR TRANSPORT,CYWG WINNIPEG,CYCR CROSS LAKE (CHARLIE SINCLAIR MEM),MINOR,2019-03-29T13:28:51
A14C0029,A14C0029_1,C-GWEO,CANADA,2013,29584,27001-272000,AEROPLANE,DE HAVILLAND,DHC-8-400,WESTJET ENCORE,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYQR REGINA,CYWG WINNIPEG INTL,NONE,2019-03-29T13:28:51
A14C0030,A14C0030_1,C-GNVC,CANADA,2001,24040,5701-27000,AEROPLANE,CANADAIR,CL-600-2B19 (CRJ),NAV CANADA,COMMERCIAL,702 - AERIAL WORK,N/A,INSPECTION,CYPG PORTAGE LA PRAIRIE/SOUTHPORT,CYXY WHITEHORSE,NONE,2019-03-29T13:28:51
A14C0031,A14C0031_1,C-GBIK,CANADA,1998,70000,27001-272000,AEROPLANE,AIRBUS,A319-100,AIR CANADA,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYVR VANCOUVER,CYYZ TORONTO,NONE,2019-03-29T13:28:51
A14C0032,A14C0032_1,C-GMPA,CANADA,2011,4740,2251-5700,AEROPLANE,PILATUS,PC-12/47E,"GOVT OF CANADA, RCMP, AIR SERVICES",STATE,N/A,PROVINCIAL,POLICE,YVC LA RONGE,CYPA PRINCE ALBERT (GLASS FIELD),NONE,2019-03-29T13:28:51
A14C0032,A14C0032_2,C-GTWG,CANADA,1994,7766,5701-27000,AEROPLANE,BEECH,1900D,TRANSWEST AIR,COMMERCIAL,704 - COMMUTER,N/A,AIR TRANSPORT,CYPA PRINCE ALBERT (GLASS FIELD),CYVC LA RONGE (BARBER FIELD),NONE,2019-03-29T13:28:51
A14C0033,A14C0033_1,C-FOKD,CANADA,1961,1927,0-2250,HELICOPTER,BELL HELICOPTER,407,TRANSWEST AIR,COMMERCIAL,703 - AIR TAXI,N/A,AIR TRANSPORT,"SEEBEE MINE, SASKATCHEWAN","LAONIL LAKE, SASKATCHEWAN",MINOR,2019-03-29T13:28:51
A14C0034,A14C0034_1,C-GUSI,CANADA,1975,70307,27001-272000,AEROPLANE,LOCKHEED,L-382 (C-130 HERCULES),FIRST AIR,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,"CYRT RANKIN INLET, NU",CYWG WINNIPEG INTL,NONE,2019-03-29T13:28:51
A14C0035,A14C0035_1,C-GICN,CANADA,1998,62823,27001-272000,AEROPLANE,BOEING,737-300,CANADIAN NORTH INC,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYWG WINNIPEG INTL,CAL4 FORT MACKAY/ALBIAN AB,MINOR,2019-03-29T13:28:51
A14C0037,A14C0037_1,C-FULE,CANADA,1992,21500,5701-27000,AEROPLANE,ATR,ATR 72-200,CALM AIR,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYYQ CHURCHILL,CYRT RED LAKE ON,NONE,2019-03-29T13:28:51
A14C0038,A14C0038_1,C-FWSE,CANADA,2009,70533,27001-272000,AEROPLANE,BOEING,737-800,WESTJET,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,KLAS LAS VEGAS NEVADA,CYXE SASKATOON/JOHN G. DIEFENBAKER INTL,NONE,2019-03-29T13:28:51
A14C0039,A14C0039_1,C-FJYV,CANADA,1991,16699,5701-27000,AEROPLANE,ATR,ATR 42-300,CALM AIR,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYTH THOMPSON,CYYQ CHURCHILL,SUBSTANTIAL,2019-03-29T13:28:51
A14C0040,A14C0040_1,C-IHKP,CANADA,2004,266,0-2250,BASIC ULTRALIGHT,,,,PRIVATE,,N/A,PLEASURE/TRAVEL,CJV2 NEILBURG SK,CJV2 NEILBURG SK,SUBSTANTIAL,2019-03-29T13:28:51
A14C0041,A14C0041_1,C-GPRZ,CANADA,1989,7530,5701-27000,AEROPLANE,BEECH,1900C,WEST WIND AVIATION,COMMERCIAL,704 - COMMUTER,N/A,AIR TRANSPORT,CYSF STONY RAPIDS,CYPA PRINCE ALBERT,NONE,2019-03-29T13:28:51
A14C0042,A14C0042_1,N8416B,UNITED STATES,2000,24040,5701-27000,AEROPLANE,CANADAIR,CL-600-2B19 (CRJ),ENDEAVOR AIR,COMMERCIAL,701 - FOREIGN,N/A,AIR TRANSPORT,CYWG WINNIPEG INTL,KMSP MINNEAPOLIS INTL,MINOR,2019-03-29T13:28:51
A14C0044,A14C0044_1,C-GKFB,CANADA,1975,259454,27001-272000,AEROPLANE,MCDONNELL DOUGLAS,DC-10-30,KELOWNA FLIGHTCRAFT,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYWG WINNIPEG,CYYC CALGARY,NONE,2019-03-29T13:28:51
A14C0046,A14C0046_1,C-GRWS,CANADA,2002,60328,27001-272000,AEROPLANE,BOEING,737-700,WESTJET,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,YYZ TORONTO,YYC CALGARY,NONE,2019-03-29T13:28:51
A14C0048,A14C0048_1,C-GJHW,CANADA,1973,5216,2251-5700,AEROPLANE,BEECH,A100,TRANSWEST AIR,COMMERCIAL,703 - AIR TAXI,N/A,AIR TRANSPORT,CYVC LA RONGE (BARBER FIELD),YFO FLIN FLON,SUBSTANTIAL,2019-03-29T13:28:51
A14C0050,A14C0050_1,N494CA,UNITED STATES,2003,23133,5701-27000,AEROPLANE,CANADAIR,CL-600-2B19 (CRJ 100),SKYWEST AIRLINES,COMMERCIAL,701 - FOREIGN,N/A,AIR TRANSPORT,CYWG WINNIPEG INTL,KDEN DENVER,NONE,2019-03-29T13:28:51
A14C0051,A14C0051_1,C-FLRY,CANADA,1990,7257,5701-27000,AEROPLANE,FAIRCHILD,SA-227-AC,PERIMETER AVIATION,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYWG WINNIPEG,CZTM SHAMATTAWA,NONE,2019-03-29T13:28:51
A14C0052,A14C0052_1,C-GXWJ,CANADA,2006,55791,27001-272000,AEROPLANE,BOEING,737-600,WESTJET,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYYZ TORONTO,CYYC CALGARY,NONE,2019-03-29T13:28:51
A14C0055,A14C0055_1,C-GNDC,CANADA,1979,51710,27001-272000,AEROPLANE,BOEING,737-200,FIRST AIR,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYRT RANKIN INLET,CYWG WINNIPEG/RICHARDSON INTL,NONE,2019-03-29T13:28:51
A14C0056,A14C0056_1,C-GBEU,CANADA,2001,15660,5701-27000,AEROPLANE,DORNIER,DO-328,CALM AIR,COMMERCIAL,704 - COMMUTER,N/A,AIR TRANSPORT,CYRT RED LAKE ON,CYYQ CHURCHILL,NONE,2019-03-29T13:28:51
A14C0057,A14C0057_1,N19554,UNITED STATES,2002,22647,5701-27000,AEROPLANE,EMBRAER,EMB-145LR,EXPRESSJET AIRLINES INC,COMMERCIAL,701 - FOREIGN,N/A,AIR TRANSPORT,KORD CHICAGO,CYWG WINNIPEG INTL,NONE,2019-03-29T13:28:51
A14C0059,A14C0059_1,C-GWPS,CANADA,1988,15649,5701-27000,AEROPLANE,DE HAVILLAND,DHC-8-100,PERIMETER AVIATION,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYWG WINNIPEG INTERNATIONAL,CYIV ISLAND LAKE MB,NONE,2019-03-29T13:28:51
A14C0061,A14C0061_1,C-FWXL,CANADA,1992,7765,5701-27000,AEROPLANE,BEECH,1900D,WASAYA AIRWAYS,COMMERCIAL,704 - COMMUTER,N/A,AIR TRANSPORT,CZPB SACHIGO LAKE,YXL SIOUX LOOKOUT,MINOR,2019-03-29T13:28:51
A14C0063,A14C0063_1,C-FCBQ,CANADA,2011,7393,5701-27000,AEROPLANE,CESSNA,560,WEST WIND AVIATION,COMMERCIAL,704 - COMMUTER,N/A,AIR TRANSPORT,CYXE SASKATOON,CYYZ TORONTO,NONE,2019-03-29T13:28:51
A14C0066,A14C0066_1,C-FFEH,CANADA,1973,1338,0-2250,AEROPLANE,CESSNA,182P,,PRIVATE,,N/A,PLEASURE/TRAVEL,CJW5 RUSSELL,BEULAH MANITOBA,SUBSTANTIAL,2019-03-29T13:28:51
A14C0067,A14C0067_1,C-FUUG,CANADA,1947,658,0-2250,AEROPLANE,CESSNA,140,,PRIVATE,,N/A,PLEASURE/TRAVEL,"MOOSEHORN, MB","MOOSEHORN, MB",SUBSTANTIAL,2019-03-29T13:28:51
A14C0068,A14C0068_1,C-GIQB,CANADA,1980,1088,0-2250,AEROPLANE,CESSNA,172P,MITCHINSON FLYING SERVICE,COMMERCIAL,406 - FLIGHT TRAINING,N/A,TRAINING,CYXE SASKATOON/JOHN G. DIEFENBAKER INTL,CYXE SASKATOON/JOHN G. DIEFENBAKER INTL,NONE,2019-03-29T13:28:51
A14C0068,A14C0068_2,C-GTJX,CANADA,1989,13154,5701-27000,AEROPLANE,SAAB-FAIRCHILD,SF 340 B,TRANSWEST AIR,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,"CYPA PRINCE ALBERT, SK",CYXE SASKATOON/JOHN G. DIEFENBAKER INTL,NONE,2019-03-29T13:28:51
A14C0069,A14C0069_1,C-FAQR,CANADA,1980,3342,2251-5700,AEROPLANE,PIPER,PA-31-350,SKYCARE AIR AMBULANCE,COMMERCIAL,703 - AIR TAXI,N/A,AIR TRANSPORT,CYQT THUNDER BAY,CYRL RED LAKE,SUBSTANTIAL,2019-03-29T13:28:51
A14C0072,A14C0072_1,C-FFFS,CANADA,1969,21092,5701-27000,AEROPLANE,HAWKER SIDDELEY,HS 748,WASAYA AIRWAYS,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,OTTAWA,CYPL PICKLE LAKE,SUBSTANTIAL,2019-03-29T13:28:51
A14C0073,A14C0073_1,C-GPVC,CANADA,1953,2436,2251-5700,AEROPLANE,DE HAVILLAND,DHC-2 (BEAVER),ELK ISLAND AIR,COMMERCIAL,703 - AIR TAXI,N/A,AIR TRANSPORT,EDMUND LAKE,"GOD'S LAKE, MB",SUBSTANTIAL,2019-03-29T13:28:51
A14C0075,A14C0075_1,C-FGWJ,CANADA,2004,60328,27001-272000,AEROPLANE,BOEING,737-700,WESTJET,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYOW OTTAWA,CYWG WINNIPEG,NONE,2019-03-29T13:28:51
A14C0077,A14C0077_1,C-GBNX,CANADA,1990,7485,5701-27000,AEROPLANE,CESSNA,560,MANITOBA GOVERNMENT AIR SERVICES,STATE,N/A,PROVINCIAL,AIR TRANSPORT,CZJN SWAN RIVER,CYWG WINNIPEG,NONE,2019-03-29T13:28:51
A14C0078,A14C0078_1,C-FHLW,CANADA,1954,884,0-2250,AEROPLANE,PIPER,PA-22-135,,PRIVATE,,N/A,PLEASURE/TRAVEL,"STEEP ROCK, MB","GYPSUMVILLE, MB",SUBSTANTIAL,2019-03-29T13:28:51
A14C0079,A14C0079_1,C-GEJS,CANADA,1962,1020,0-2250,AEROPLANE,CESSNA,172C,,PRIVATE,,N/A,PLEASURE/TRAVEL,"OUNGRE, SK","TORQUAY, SK",DESTROYED,2019-03-29T13:28:51
A14C0081,A14C0081_1,N564JB,UNITED STATES,2003,77000,27001-272000,AEROPLANE,AIRBUS,A320-200,JETBLUE AIRWAYS,COMMERCIAL,701 - FOREIGN,N/A,AIR TRANSPORT,"BOSTON, MA","SEATTLE, WA",MINOR,2019-03-29T13:28:51
A14C0084,A14C0084_1,C-FTSK,CANADA,1987,7258,5701-27000,AEROPLANE,FAIRCHILD,SA-227-AC,PERIMETER AVIATION,COMMERCIAL,703 - AIR TAXI,N/A,AIR TRANSPORT,CYWG WINNIPEG INTL,CYDN DAUPHIN,NONE,2019-03-29T13:28:51
A14C0086,A14C0086_1,C-FJVK,CANADA,1951,680,0-2250,AEROPLANE,PIPER,PA-18,Whitewing Resort and Floating Lodges Ltd,PRIVATE,,N/A,BUSINESS,"TEAR DROP LAKE, ON","FROGGY LAKE, ON",SUBSTANTIAL,2019-03-29T13:28:51
A14C0087,A14C0087_1,C-GISM,CANADA,1971,3053,2251-5700,AEROPLANE,PIPER,PA-31,INTERLAKE AVIATION,COMMERCIAL,703 - AIR TAXI,N/A,AIR TRANSPORT,CYBV BERENS RIVER,"PINE DOCK, MB",SUBSTANTIAL,2019-03-29T13:28:51
A14C0088,A14C0088_1,C-FMAK,CANADA,1989,16899,5701-27000,AEROPLANE,ATR,ATR 42-300,CALM AIR,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYYQ CHURCHILL,"CYEK ARVIAT, NU",NONE,2019-03-29T13:28:51
A14C0089,A14C0089_1,C-FXID,CANADA,1996,907,0-2250,AEROPLANE,,,,PRIVATE,,N/A,PLEASURE/TRAVEL,"SILVER FALLS PROV PARK, DOG LAKE ONTARIO",SUDBURY,SUBSTANTIAL,2019-03-29T13:28:51
A14C0090,A14C0090_1,C-FAFS,CANADA,1983,16699,5701-27000,AEROPLANE,ATR,ATR 42-300,CALM AIR,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYYQ CHURCHILL,CYWG WINNIPEG INTL,NONE,2019-03-29T13:28:51
A14C0091,A14C0091_1,C-FEQK,CANADA,1970,2313,2251-5700,AEROPLANE,BEECH,95-B55,PERIMETER AVIATION,COMMERCIAL,703 - AIR TAXI,N/A,TRAINING,CYWG WINNIPEG INTL,CYWG WINNIPEG INTL,NONE,2019-03-29T13:28:51
A14C0092,A14C0092_1,C-FWZK,CANADA,1992,7766,5701-27000,AEROPLANE,BEECH,1900D,WASAYA AIRWAYS,COMMERCIAL,704 - COMMUTER,N/A,AIR TRANSPORT,CYVZ DEER LAKE,CZSJ SANDY LAKE,NONE,2019-03-29T13:28:51
A14C0093,A14C0093_1,C-GHPR,CANADA,1973,1814,0-2250,AEROPLANE,CESSNA,188 B,AIR GREENWAY,COMMERCIAL,702 - AERIAL WORK,N/A,APPLICATION,CJJ2 GLENBORO,CJJ2 GLENBORO,SUBSTANTIAL,2019-03-29T13:28:51
A14C0095,A14C0095_1,C-FGLW,CANADA,2006,51800,27001-272000,AEROPLANE,EMBRAER,EMB-190,AIR CANADA,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYXE SASKATOON,CYYZ TORONTO INTL,NONE,2019-03-29T13:28:51
A14C0096,A14C0096_1,G-VWEB,UNITED KINGDOM,2006,368000,OVER 272001,AEROPLANE,AIRBUS,A340-600,VIRGIN ATLANTIC,COMMERCIAL,701 - FOREIGN,N/A,AIR TRANSPORT,EGLL LONDON HEATHROW,KLAX LOS ANGELES,NONE,2019-03-29T13:28:51
A14C0097,A14C0097_1,N9600F,UNITED STATES,2013,2727,2251-5700,AEROPLANE,AYRES,S2R-T34,,CORPORATE,N/A,N/A,APPLICATION,"S28 DUNSEITH, NORTH DAKOTA","CARIEVALE, 7 NM S",SUBSTANTIAL,2019-03-29T13:28:51
A14C0098,A14C0098_1,C-GUNO,CANADA,1989,16899,5701-27000,AEROPLANE,ATR,ATR 42-300,Bradley Air Services Limited/First Air,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYRT RANKIN INLET,CYWG WINNIPEG INTL,NONE,2019-03-29T13:28:51
A14C0099,A14C0099_1,C-FJEI,CANADA,1956,2313,2251-5700,AEROPLANE,DE HAVILLAND,DHC-2 MK I,KENORA AIR SERVICE,COMMERCIAL,703 - AIR TAXI,N/A,AIR TRANSPORT,CJM9 KENORA,CJM9 KENORA,NONE,2019-03-29T13:28:51
A14C0099,A14C0099_2,C-GFGN,CANADA,1946,553,0-2250,AEROPLANE,AERONCA,7AC,,PRIVATE,,N/A,PLEASURE/TRAVEL,"LAC LU, ONTARIO",CJM9 KENORA,NONE,2019-03-29T13:28:51
A14C0100,A14C0100_1,C-GMKR,CANADA,1982,2400,2251-5700,AEROPLANE,CESSNA,172P,MITCHINSON FLYING SERVICE,COMMERCIAL,406 - FLIGHT TRAINING,N/A,TRAINING,YXE SASKATOON,"CGF3 HAGUE, SASKATCHEWAN",SUBSTANTIAL,2019-03-29T13:28:51
A14C0102,A14C0102_1,C-FTJZ,CANADA,2005,38329,27001-272000,AEROPLANE,CANADAIR,CL-600-2D15 (RJ705),JAZZ AVIATION LP,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYYC CALGARY,CYWG WINNIPEG INTL,NONE,2019-03-29T13:28:51
A14C0104,A14C0104_1,C-FFDB,CANADA,1978,5670,2251-5700,AEROPLANE,SWEARINGEN,SA-226-TC,PERIMETER AVIATION,COMMERCIAL,704 - COMMUTER,N/A,AIR TRANSPORT,CYWG WINNIPEG,CYPM PIKANGIKUM,NONE,2019-03-29T13:28:51
A14C0105,A14C0105_1,C-GYWZ,CANADA,1968,1497,0-2250,AEROPLANE,CESSNA,188 A,,PRIVATE,,N/A,APPLICATION,MANITOBA ROAD 95 NEAR STEAD,HAZELRIDGE MANITOBA,SUBSTANTIAL,2019-03-29T13:28:51
A14C0106,A14C0106_1,C-FHIQ,CANADA,2006,51800,27001-272000,AEROPLANE,EMBRAER,EMB-190,AIR CANADA,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYEG EDMONTON,CYOW OTTAWA,NONE,2019-03-29T13:28:51
A14C0107,A14C0107_1,C-GTEQ,CANADA,2010,2370,2251-5700,HELICOPTER,EUROCOPTER,AS 350 B3,GEOTECH AVIATION,COMMERCIAL,703 - AIR TAXI,N/A,AIR TRANSPORT,CYNL POINTS NORTH LANDING,CYMM FT MCMURRAY,SUBSTANTIAL,2019-03-29T13:28:51
A14C0108,A14C0108_1,C-FGAD,CANADA,2006,1723,0-2250,AEROPLANE,,,,PRIVATE,,N/A,PLEASURE/TRAVEL,"REINDEER LAKE, SK","CYSF STONEY RAPIDS, SK",SUBSTANTIAL,2019-03-29T13:28:51
A14C0109,A14C0109_1,C-FGSG,CANADA,1977,1814,0-2250,HELICOPTER,BELL HELICOPTER,206L,GREAT SLAVE HELICOPTERS,COMMERCIAL,703 - AIR TAXI,N/A,AIR TRANSPORT,"64° 11.55'N, 110° 32.31'W","64° 11.55'N, 110° 32.31'W",SUBSTANTIAL,2019-03-29T13:28:51
A14C0110,A14C0110_1,C-GRGI,CANADA,1991,16465,5701-27000,AEROPLANE,DE HAVILLAND,DHC-8-100,CANADIAN NORTH INC,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYBB KUGAARUK,CYYH TALOYOAK,NONE,2019-03-29T13:28:51
A14C0111,A14C0111_1,C-GFAV,CANADA,1979,5670,2251-5700,AEROPLANE,BEECH,B200,FAST AIR,COMMERCIAL,703 - AIR TAXI,N/A,AIR AMBULANCE/ EMERGENCY MEDICAL,CYWG WINNIPEG/RICHARDSON INTL,CYFO FLIN FLON,NONE,2019-03-29T13:28:51
A14C0112,A14C0112_1,C-FLWJ,CANADA,2011,60328,27001-272000,AEROPLANE,BOEING,737-700,WESTJET,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,"CYEG EDMONTON, AB",CYWG WINNIPEG INTL,NONE,2019-03-29T13:28:51
A14C0112,A14C0112_2,C-FOEN,CANADA,2013,29574,27001-272000,AEROPLANE,DE HAVILLAND,DHC-8-400,WESTJET,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYWG WINNIPEG INTL,"CYQT THUNDER BAY, ON",NONE,2019-03-29T13:28:51
A14C0113,A14C0113_1,C-GWWV,CANADA,1977,5670,2251-5700,AEROPLANE,BEECH,B200,WEST WIND AVIATION,COMMERCIAL,703 - AIR TAXI,N/A,AIR TRANSPORT,CYPA PRINCE ALBERT,CYBE URANIUM CITY,NONE,2019-03-29T13:28:51
A14C0114,A14C0114_1,C-GWSY,CANADA,2010,60328,27001-272000,AEROPLANE,BOEING,737-700,WESTJET,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYVR VANCOUVER INTL,CYWG WINNIPEG INTL,NONE,2019-03-29T13:28:51
A14C0115,A14C0115_1,C-GJWS,CANADA,2005,70533,27001-272000,AEROPLANE,BOEING,737-800,WESTJET,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,KLAS LAS VEGAS MCCARRAN INTL,CYXE SASKATOON/JOHN G. DIEFENBAKER INTL,NONE,2019-03-29T13:28:51
A14C0116,A14C0116_1,N1292S,UNITED STATES,1976,1160,0-2250,AEROPLANE,CESSNA,182P,,PRIVATE,,N/A,PLEASURE/TRAVEL,CROW LAKE ONTARIO,CYQK KENORA 20 NM S,DESTROYED,2019-03-29T13:28:51
A14C0117,A14C0117_1,C-FRXO,CANADA,1964,2268,2251-5700,AEROPLANE,BEECH,95-B55,PERIMETER AVIATION,COMMERCIAL,703 - AIR TAXI,N/A,AIR TRANSPORT,CYQK KENORA,YWG WINNIPEG,NONE,2019-03-29T13:28:51
A14C0118,A14C0118_1,C-FJQU,CANADA,1978,2722,2251-5700,AEROPLANE,AYRES,S2R,KINDERSLEY AIRSPRAY,COMMERCIAL,702 - AERIAL WORK,N/A,APPLICATION,CYKY KINDERSLEY,CYKY KINDERSLEY,NONE,2019-03-29T13:28:51
A14C0121,A14C0121_1,C-FYTX,CANADA,2013,3265,2251-5700,AEROPLANE,AYRES,S2R-T34,FARR AIR INC.,COMMERCIAL,702 - AERIAL WORK,N/A,APPLICATION,CJN4 ASSINIBOIA,CJN4 ASSINIBOIA,NONE,2019-03-29T13:28:51
A14C0122,A14C0122_1,C-FJTS,CANADA,1987,7257,5701-27000,AEROPLANE,FAIRCHILD,SA-227-AC,PERIMETER AVIATION,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYWG WINNIPEG INTL,YOH OXFORD HOUSE,NONE,2019-03-29T13:28:51
A14C0126,A14C0126_1,C-FCHD,CANADA,1968,4309,2251-5700,HELICOPTER,BELL HELICOPTER,205A,CUSTOM HELICOPTERS,COMMERCIAL,702 - AERIAL WORK,N/A,HELISLINGING,CYYL LYNN LAKE,CJC8 LAURIE RIVER,NONE,2019-03-29T13:28:51
A14C0129,A14C0129_1,N720HT,UNITED STATES,1969,21000,5701-27000,HELICOPTER,SIKORSKY,S-54B,HELICOPTER TRANSPORT SERVICES (CANADA),COMMERCIAL,702 - AERIAL WORK,N/A,HELISLINGING,"LINDSAY LAKE, SK","LINDSAY LAKE, SK",NONE,2019-03-29T13:28:51
A14C0130,A14C0130_1,C-GHGK,CANADA,1987,6950,5701-27000,AEROPLANE,BRITISH AEROSPACE,JETSTREAM 3100,WESTWIND ENTERPRISES,COMMERCIAL,704 - COMMUTER,N/A,AIR TRANSPORT,CYXE SASKATOON/JOHN G. DIEFENBAKER INTL,YQR REGINA,NONE,2019-03-29T13:28:51
A14C0131,A14C0131_1,C-GXCN,CANADA,1992,16466,5701-27000,AEROPLANE,DE HAVILLAND,DHC-8-100,CANADIAN NORTH INC,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYFB IQALUIT,CYUX HALL BEACH,NONE,2019-03-29T13:28:51
A14C0132,A14C0132_1,C-GKNB,CANADA,1993,2721,2251-5700,AEROPLANE,AIR TRACTOR,AT-401,MCNABB AGRO LIMITED,COMMERCIAL,702 - AERIAL WORK,N/A,APPLICATION,HOLDFAST SASK,HOLDFAST SASK,MINOR,2019-03-29T13:28:51
A14C0135,A14C0135_1,N720HT,UNITED STATES,1969,21000,5701-27000,HELICOPTER,SIKORSKY,S-54B,HELICOPTER TRANSPORT SERVICES (CANADA),COMMERCIAL,702 - AERIAL WORK,N/A,HELISLINGING,"LINDSAY LAKE, SK","LINDSAY LAKE, SK",NONE,2019-03-29T13:28:51
A14C0137,A14C0137_1,C-FRXC,CANADA,1963,1313,0-2250,AEROPLANE,PIPER,PA-25-235,BRETT’S AG SERVICES LTD,COMMERCIAL,702 - AERIAL WORK,N/A,FERRY,"STORETHOAKS, SK",OXBOW 8NM SW,SUBSTANTIAL,2019-03-29T13:28:51
A14C0138,A14C0138_1,C-GTCS,CANADA,2012,4263,2251-5700,AEROPLANE,AIR TRACTOR,AT-502B,T-C AERIAL LTD,COMMERCIAL,702 - AERIAL WORK,N/A,APPLICATION,CJC5 SHAUNAVON,CJC5 SHAUNAVON,MINOR,2019-03-29T13:28:51
A14C0140,A14C0140_1,C-FNHF,CANADA,1946,544,0-2250,AEROPLANE,TAYLORCRAFT,BC-12D,,PRIVATE,,N/A,PLEASURE/TRAVEL,"CED5 TABER, AB",CJQ4 MAPLE CREEK,SUBSTANTIAL,2019-03-29T13:28:51
A14C0141,A14C0141_1,C-FVNI,CANADA,1951,2608,2251-5700,AEROPLANE,CANADIAN CAR AND FOUNDRY,HARVARD 4,,PRIVATE,,N/A,PLEASURE/TRAVEL,CYQV YORKTON MUNI,CYQV YORKTON MUNI,SUBSTANTIAL,2019-03-29T13:28:51
A14C0142,A14C0142_1,C-FSWT,CANADA,1980,5670,2251-5700,AEROPLANE,FAIRCHILD,SA-226-TC,PERIMETER AVIATION,COMMERCIAL,704 - COMMUTER,N/A,AIR TRANSPORT,CYBV BERENS RIVER,CYWG WINNIPEG INTL,NONE,2019-03-29T13:28:51
A14C0143,A14C0143_1,C-IFAP,CANADA,2005,435,0-2250,ADVANCED ULTRALIGHT,QUAD CITY ULTRALIGHT AIRCRAFT,CHALLENGER II,,PRIVATE,,N/A,PLEASURE/TRAVEL,NEEPAWA,OAK HAMMOCK MARCH,SUBSTANTIAL,2019-03-29T13:28:51
A14C0144,A14C0144_1,C-GCEV,CANADA,1981,19958,5701-27000,AEROPLANE,DE HAVILLAND,DHC-7-100,AIR TINDI,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYZF YELLOWKNIFE,CHB3 HOPE BAY,NONE,2019-03-29T13:28:51
A14C0145,A14C0145_1,C-GJWD,CANADA,2002,93505,27001-272000,AEROPLANE,AIRBUS,A321-200,AIR CANADA,COMMERCIAL,705 - AIRLINER,N/A,AIR TRANSPORT,CYYZ TORONTO INTL,CYVR VANCOUVER INTL,NONE,2019-03-29T13:28:51
A14C0146,A14C0146_1,C-FFJM,CANADA,1987,6577,5701-27000,AEROPLANE,FAIRCHILD,SA-227-AC,PERIMETER AVIATION,COMMERCIAL,704 - COMMUTER,N/A,AIR TRANSPORT,CYTH THOMPSON,CZTM SHAMATTAWA,NONE,2019-03-29T13:28:51
A14C0147,A14C0147_1,C-FBVH,CANADA,1980,1361,0-2250,HELICOPTER,MCDONNELL DOUGLAS HELICOPTER,369D (500D),OCEAN VIEW HELICOPTERS,COMMERCIAL,702 - AERIAL WORK,N/A,INSPECTION,"LINDSAY LAKE, 17 NM N","LINDSAY LAKE, 17 NM N",SUBSTANTIAL,2019-03-29T13:28:51
A14C0149,A14C0149_1,C-GTKN,CANADA,1974,1134,0-2250,AEROPLANE,CESSNA,177B,,PRIVATE,,N/A,PLEASURE/TRAVEL,"PRINCE ALBERT, SK","LYNN LAKE, MB",DESTROYED,2019-03-29T13:28:51
A14C0150,A14C0150_1,C-FZLK,CANADA,1996,4110,2251-5700,AEROPLANE,CESSNA,208 B,CGG AVIATION,COMMERCIAL,702 - AERIAL WORK,N/A,PHOTO/SURVEY,"CYQT THUNDER BAY, ON","CYPA PRINCE ALBERT, SK",NONE,2019-03-29T13:28:51
