"REF_DATE","GEO","DGUID","Class of operation","Rank and number of movements","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1997","Kitchener/Waterloo, Ontario","","Total, itinerant and local movements","Number of movements","Number","223","units ","0","v41501781","14.1.2","103653","","","","0"
"1997","Kitchener/Waterloo, Ontario","","Itinerant movements","Rank of movements","Number","223","units ","0","v41501782","14.2.1","29","","","","0"
"1997","Kitchener/Waterloo, Ontario","","Itinerant movements","Number of movements","Number","223","units ","0","v41501783","14.2.2","39093","","","","0"
"1997","Kitchener/Waterloo, Ontario","","Local movements","Rank of movements","Number","223","units ","0","v41501784","14.3.1","9","","","","0"
"1997","Kitchener/Waterloo, Ontario","","Local movements","Number of movements","Number","223","units ","0","v41501785","14.3.2","64560","","","","0"
"1997","London, Ontario","","Total, itinerant and local movements","Rank of movements","Number","223","units ","0","v41501792","16.1.1","18","","","","0"
"1997","London, Ontario","","Total, itinerant and local movements","Number of movements","Number","223","units ","0","v41501793","16.1.2","107135","","","","0"
"1997","London, Ontario","","Itinerant movements","Rank of movements","Number","223","units ","0","v41501794","16.2.1","17","","","","0"
"1997","London, Ontario","","Itinerant movements","Number of movements","Number","223","units ","0","v41501795","16.2.2","60743","","","","0"
"1997","London, Ontario","","Local movements","Rank of movements","Number","223","units ","0","v41501796","16.3.1","14","","","","0"
"1997","London, Ontario","","Local movements","Number of movements","Number","223","units ","0","v41501797","16.3.2","46392","","","","0"
"1997","North Bay, Ontario","","Total, itinerant and local movements","Rank of movements","Number","223","units ","0","v41501822","21.1.1","43","","","t","0"
"1997","North Bay, Ontario","","Total, itinerant and local movements","Number of movements","Number","223","units ","0","v41501823","21.1.2","35426","","","t","0"
"1997","North Bay, Ontario","","Itinerant movements","Rank of movements","Number","223","units ","0","v41501824","21.2.1","43","","","t","0"
"1997","North Bay, Ontario","","Itinerant movements","Number of movements","Number","223","units ","0","v41501825","21.2.2","20559","","","t","0"
"1997","North Bay, Ontario","","Local movements","Rank of movements","Number","223","units ","0","v41501826","21.3.1","35","","","t","0"
"1997","North Bay, Ontario","","Local movements","Number of movements","Number","223","units ","0","v41501827","21.3.2","14867","","","t","0"
"1997","Oshawa, Ontario","","Total, itinerant and local movements","Rank of movements","Number","223","units ","0","v41501828","22.1.1","31","","","","0"
"1997","Oshawa, Ontario","","Total, itinerant and local movements","Number of movements","Number","223","units ","0","v41501829","22.1.2","71223","","","","0"
"1997","Oshawa, Ontario","","Itinerant movements","Rank of movements","Number","223","units ","0","v41501830","22.2.1","34","","","","0"
"1997","Oshawa, Ontario","","Itinerant movements","Number of movements","Number","223","units ","0","v41501831","22.2.2","34113","","","","0"
"1997","Oshawa, Ontario","","Local movements","Rank of movements","Number","223","units ","0","v41501832","22.3.1","19","","","","0"
"1997","Oshawa, Ontario","","Local movements","Number of movements","Number","223","units ","0","v41501833","22.3.2","37110","","","","0"
"1997","Ottawa/Macdonald-Cartier International, Ontario","","Total, itinerant and local movements","Rank of movements","Number","223","units ","0","v41501834","23.1.1","8","","","","0"
"1997","Ottawa/Macdonald-Cartier International, Ontario","","Total, itinerant and local movements","Number of movements","Number","223","units ","0","v41501835","23.1.2","169290","","","","0"
"1997","Ottawa/Macdonald-Cartier International, Ontario","","Itinerant movements","Rank of movements","Number","223","units ","0","v41501836","23.2.1","6","","","","0"
"1997","Ottawa/Macdonald-Cartier International, Ontario","","Itinerant movements","Number of movements","Number","223","units ","0","v41501837","23.2.2","122546","","","","0"
"1997","Ottawa/Macdonald-Cartier International, Ontario","","Local movements","Rank of movements","Number","223","units ","0","v41501838","23.3.1","13","","","","0"
"1997","Ottawa/Macdonald-Cartier International, Ontario","","Local movements","Number of movements","Number","223","units ","0","v41501839","23.3.2","46744","","","","0"
"1997","Sault Ste. Marie, Ontario","","Total, itinerant and local movements","Rank of movements","Number","223","units ","0","v41501870","29.1.1","38","","","","0"
"1997","Sault Ste. Marie, Ontario","","Total, itinerant and local movements","Number of movements","Number","223","units ","0","v41501871","29.1.2","53728","","","","0"
"1997","Sault Ste. Marie, Ontario","","Itinerant movements","Rank of movements","Number","223","units ","0","v41501872","29.2.1","39","","","","0"
"1997","Sault Ste. Marie, Ontario","","Itinerant movements","Number of movements","Number","223","units ","0","v41501873","29.2.2","28757","","","","0"
"1997","Sault Ste. Marie, Ontario","","Local movements","Rank of movements","Number","223","units ","0","v41501874","29.3.1","27","","","","0"
"1997","Sault Ste. Marie, Ontario","","Local movements","Number of movements","Number","223","units ","0","v41501875","29.3.2","24971","","","","0"
"1997","Sudbury, Ontario","","Total, itinerant and local movements","Rank of movements","Number","223","units ","0","v41501894","33.1.1","35","","","t","0"
"1997","Sudbury, Ontario","","Total, itinerant and local movements","Number of movements","Number","223","units ","0","v41501895","33.1.2","60548","","","t","0"
"1997","Sudbury, Ontario","","Itinerant movements","Rank of movements","Number","223","units ","0","v41501896","33.2.1","30","","","t","0"
"1997","Sudbury, Ontario","","Itinerant movements","Number of movements","Number","223","units ","0","v41501897","33.2.2","35543","","","t","0"
"1997","Sudbury, Ontario","","Local movements","Rank of movements","Number","223","units ","0","v41501898","33.3.1","26","","","t","0"
"1997","Sudbury, Ontario","","Local movements","Number of movements","Number","223","units ","0","v41501899","33.3.2","25005","","","t","0"
"1997","Thunder Bay, Ontario","","Total, itinerant and local movements","Rank of movements","Number","223","units ","0","v41501900","34.1.1","23","","","","0"
"1997","Thunder Bay, Ontario","","Total, itinerant and local movements","Number of movements","Number","223","units ","0","v41501901","34.1.2","80905","","","","0"
"1997","Thunder Bay, Ontario","","Itinerant movements","Rank of movements","Number","223","units ","0","v41501902","34.2.1","22","","","","0"
"1997","Thunder Bay, Ontario","","Itinerant movements","Number of movements","Number","223","units ","0","v41501903","34.2.2","48315","","","","0"
"1997","Thunder Bay, Ontario","","Local movements","Rank of movements","Number","223","units ","0","v41501904","34.3.1","22","","","","0"
"1997","Thunder Bay, Ontario","","Local movements","Number of movements","Number","223","units ","0","v41501905","34.3.2","32590","","","","0"
"1997","Toronto/Billy Bishop Toronto City, Ontario","","Total, itinerant and local movements","Rank of movements","Number","223","units ","0","v41501912","36.1.1","14","","","","0"
"1997","Toronto/Billy Bishop Toronto City, Ontario","","Total, itinerant and local movements","Number of movements","Number","223","units ","0","v41501913","36.1.2","126138","","","","0"
"1997","Toronto/Billy Bishop Toronto City, Ontario","","Itinerant movements","Rank of movements","Number","223","units ","0","v41501914","36.2.1","16","","","","0"
"1997","Toronto/Billy Bishop Toronto City, Ontario","","Itinerant movements","Number of movements","Number","223","units ","0","v41501915","36.2.2","61284","","","","0"
"1997","Toronto/Billy Bishop Toronto City, Ontario","","Local movements","Rank of movements","Number","223","units ","0","v41501916","36.3.1","8","","","","0"
"1997","Toronto/Billy Bishop Toronto City, Ontario","","Local movements","Number of movements","Number","223","units ","0","v41501917","36.3.2","64854","","","","0"
"1997","Toronto/Buttonville Municipal, Ontario","","Total, itinerant and local movements","Rank of movements","Number","223","units ","0","v41501906","35.1.1","10","","","","0"
"1997","Toronto/Buttonville Municipal, Ontario","","Total, itinerant and local movements","Number of movements","Number","223","units ","0","v41501907","35.1.2","161210","","","","0"
"1997","Toronto/Buttonville Municipal, Ontario","","Itinerant movements","Rank of movements","Number","223","units ","0","v41501908","35.2.1","12","","","","0"
"1997","Toronto/Buttonville Municipal, Ontario","","Itinerant movements","Number of movements","Number","223","units ","0","v41501909","35.2.2","77092","","","","0"
"1997","Toronto/Buttonville Municipal, Ontario","","Local movements","Rank of movements","Number","223","units ","0","v41501910","35.3.1","4","","","","0"
"1997","Toronto/Buttonville Municipal, Ontario","","Local movements","Number of movements","Number","223","units ","0","v41501911","35.3.2","84118","","","","0"
"1997","Toronto/Lester B. Pearson International, Ontario","","Total, itinerant and local movements","Rank of movements","Number","223","units ","0","v41501918","37.1.1","1","","","","0"
"1997","Toronto/Lester B. Pearson International, Ontario","","Total, itinerant and local movements","Number of movements","Number","223","units ","0","v41501919","37.1.2","395637","","","","0"
"1997","Toronto/Lester B. Pearson International, Ontario","","Itinerant movements","Rank of movements","Number","223","units ","0","v41501920","37.2.1","1","","","","0"
"1997","Toronto/Lester B. Pearson International, Ontario","","Itinerant movements","Number of movements","Number","223","units ","0","v41501921","37.2.2","395637","","","","0"
"1997","Toronto/Lester B. Pearson International, Ontario","","Local movements","Rank of movements","Number","223","units ","0","v41501922","37.3.1","0","","","","0"
"1997","Toronto/Lester B. Pearson International, Ontario","","Local movements","Number of movements","Number","223","units ","0","v41501923","37.3.2","0","","","","0"
"1997","Windsor, Ontario","","Total, itinerant and local movements","Rank of movements","Number","223","units ","0","v41501948","42.1.1","36","","","","0"
"1997","Windsor, Ontario","","Total, itinerant and local movements","Number of movements","Number","223","units ","0","v41501949","42.1.2","56140","","","","0"
"1997","Windsor, Ontario","","Itinerant movements","Rank of movements","Number","223","units ","0","v41501950","42.2.1","38","","","","0"
"1997","Windsor, Ontario","","Itinerant movements","Number of movements","Number","223","units ","0","v41501951","42.2.2","29726","","","","0"
"1997","Windsor, Ontario","","Local movements","Rank of movements","Number","223","units ","0","v41501952","42.3.1","24","","","","0"
"1997","Windsor, Ontario","","Local movements","Number of movements","Number","223","units ","0","v41501953","42.3.2","26414","","","","0"
"1997","Manitoba","2016A000246","Total, itinerant and local movements","Number of movements","Number","223","units ","0","v44207276","1046.1.2","256250","","","","0"
"1997","Manitoba","2016A000246","Itinerant movements","Number of movements","Number","223","units ","0","v44207277","1046.2.2","155225","","","","0"
"1997","Manitoba","2016A000246","Local movements","Number of movements","Number","223","units ","0","v44207278","1046.3.2","101025","","","","0"
"1997","Winnipeg/James Armstrong Richardson International, Manitoba","","Total, itinerant and local movements","Rank of movements","Number","223","units ","0","v41501954","43.1.1","11","","","","0"
"1997","Winnipeg/James Armstrong Richardson International, Manitoba","","Total, itinerant and local movements","Number of movements","Number","223","units ","0","v41501955","43.1.2","155221","","","","0"
"1997","Winnipeg/James Armstrong Richardson International, Manitoba","","Itinerant movements","Rank of movements","Number","223","units ","0","v41501956","43.2.1","5","","","","0"
"1997","Winnipeg/James Armstrong Richardson International, Manitoba","","Itinerant movements","Number of movements","Number","223","units ","0","v41501957","43.2.2","130172","","","","0"
"1997","Winnipeg/James Armstrong Richardson International, Manitoba","","Local movements","Rank of movements","Number","223","units ","0","v41501958","43.3.1","25","","","","0"
"1997","Winnipeg/James Armstrong Richardson International, Manitoba","","Local movements","Number of movements","Number","223","units ","0","v41501959","43.3.2","25049","","","","0"
"1997","Winnipeg/St. Andrews, Manitoba","","Total, itinerant and local movements","Rank of movements","Number","223","units ","0","v41501960","44.1.1","20","","","","0"
"1997","Winnipeg/St. Andrews, Manitoba","","Total, itinerant and local movements","Number of movements","Number","223","units ","0","v41501961","44.1.2","101029","","","","0"
"1997","Winnipeg/St. Andrews, Manitoba","","Itinerant movements","Rank of movements","Number","223","units ","0","v41501962","44.2.1","41","","","","0"
"1997","Winnipeg/St. Andrews, Manitoba","","Itinerant movements","Number of movements","Number","223","units ","0","v41501963","44.2.2","25053","","","","0"
"1997","Winnipeg/St. Andrews, Manitoba","","Local movements","Rank of movements","Number","223","units ","0","v41501964","44.3.1","6","","","","0"
"1997","Winnipeg/St. Andrews, Manitoba","","Local movements","Number of movements","Number","223","units ","0","v41501965","44.3.2","75976","","","","0"
"1997","Saskatchewan","2016A000247","Total, itinerant and local movements","Number of movements","Number","223","units ","0","v44207279","1047.1.2","176963","","","","0"
"1997","Saskatchewan","2016A000247","Itinerant movements","Number of movements","Number","223","units ","0","v44207280","1047.2.2","112387","","","","0"
"1997","Saskatchewan","2016A000247","Local movements","Number of movements","Number","223","units ","0","v44207281","1047.3.2","64576","","","","0"
"1997","Regina International, Saskatchewan","","Total, itinerant and local movements","Rank of movements","Number","223","units ","0","v41501858","27.1.1","32","","","","0"
"1997","Regina International, Saskatchewan","","Total, itinerant and local movements","Number of movements","Number","223","units ","0","v41501859","27.1.2","69773","","","","0"
"1997","Regina International, Saskatchewan","","Itinerant movements","Rank of movements","Number","223","units ","0","v41501860","27.2.1","24","","","","0"
"1997","Regina International, Saskatchewan","","Itinerant movements","Number of movements","Number","223","units ","0","v41501861","27.2.2","47437","","","","0"
"1997","Regina International, Saskatchewan","","Local movements","Rank of movements","Number","223","units ","0","v41501862","27.3.1","29","","","","0"
"1997","Regina International, Saskatchewan","","Local movements","Number of movements","Number","223","units ","0","v41501863","27.3.2","22336","","","","0"
"1997","Saskatoon/John G. Diefenbaker International, Saskatchewan","","Total, itinerant and local movements","Rank of movements","Number","223","units ","0","v41501864","28.1.1","17","","","","0"
"1997","Saskatoon/John G. Diefenbaker International, Saskatchewan","","Total, itinerant and local movements","Number of movements","Number","223","units ","0","v41501865","28.1.2","107190","","","","0"
"1997","Saskatoon/John G. Diefenbaker International, Saskatchewan","","Itinerant movements","Rank of movements","Number","223","units ","0","v41501866","28.2.1","15","","","","0"
"1997","Saskatoon/John G. Diefenbaker International, Saskatchewan","","Itinerant movements","Number of movements","Number","223","units ","0","v41501867","28.2.2","64950","","","","0"
"1997","Saskatoon/John G. Diefenbaker International, Saskatchewan","","Local movements","Rank of movements","Number","223","units ","0","v41501868","28.3.1","18","","","","0"
"1997","Saskatoon/John G. Diefenbaker International, Saskatchewan","","Local movements","Number of movements","Number","223","units ","0","v41501869","28.3.2","42240","","","","0"
"1997","Alberta","2016A000248","Total, itinerant and local movements","Number of movements","Number","223","units ","0","v44207282","1048.1.2","627641","","","","0"
"1997","Alberta","2016A000248","Itinerant movements","Number of movements","Number","223","units ","0","v44207283","1048.2.2","452402","","","","0"
"1997","Alberta","2016A000248","Local movements","Number of movements","Number","223","units ","0","v44207284","1048.3.2","175239","","","","0"
