OccNo,OccYear,OccDate,OccClassID,OccType,IncidentType,Country,ProvinceState,Ocean,Location,Distance,Airport,ICAO,Latitude,Longitude,CrewFatal,PassengerFatal,GroundFatal,CrewSerious,PassengerSerious,GroundSerious,DGReleaseIND,AircraftType_1,AircraftMake_1,Organization_1,OperatorType_1,RegCountry_1,AircraftType_2,AircraftMake_2,Organization_2,OperatorType_2,RegCountry_2,AircraftType_3,AircraftMake_3,Organization_3,OperatorType_3,RegCountry_3,AircraftType_4,AircraftMake_4,Organization_4,OperatorType_4,RegCountry_4,AircraftType_5,AircraftMake_5,Organization_5,OperatorType_5,RegCountry_5,AircraftType_6,AircraftMake_6,Organization_6,OperatorType_6,RegCountry_6,PRODUCTION_DT
A18Q0053,2018,2018-04-22,5,ACCIDENT,N/A,CANADA,QUEBEC,N/A,Saint-Marc-sur-Richelieu,,,,45.72473,-73.1948,0,0,0,0,0,0,NO,BASIC ULTRALIGHT,DTA,,PRIVATE,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A18Q0054,2018,2018-04-15,5,INCIDENT REPORTABLE,LOSS OF SEPARATION,CANADA,QUEBEC,N/A,Montreal,,Pierre Elliott Trudeau Intl,CYUL,45.47055,-73.7408,0,0,0,0,0,0,NO,AEROPLANE,BOMBARDIER,JAZZ AVIATION LP,COMMERCIAL,CANADA,AEROPLANE,AIRBUS,AIR CANADA,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A18Q0055,2018,2018-04-17,5,INCIDENT REPORTABLE,LOSS OF SEPARATION,CANADA,QUEBEC,N/A,Montreal,,Pierre Elliott Trudeau Intl,CYUL,45.47055,-73.7408,0,0,0,0,0,0,NO,AEROPLANE,BEECH,AIR GEORGIAN,COMMERCIAL,CANADA,AEROPLANE,EMBRAER,TRANS STATES AIRLINES,COMMERCIAL,UNITED STATES,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A18Q0057,2018,2018-05-01,5,ACCIDENT,N/A,CANADA,QUEBEC,N/A,LACHUTE,,LACHUTE,CSE4,45.63944,-74.3705,0,0,0,0,0,0,NO,ADVANCED ULTRALIGHT,Tecnam,,PRIVATE,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A18Q0058,2018,2018-04-28,5,INCIDENT REPORTABLE,EMERGENCY/PRIORITY,CANADA,QUEBEC,N/A,Montreal,80.000000000000000,Pierre Elliott Trudeau Intl,CYUL,45.47055,-73.7408,0,0,0,0,0,0,NO,AEROPLANE,AIRBUS,AIR CANADA ROUGE,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A18Q0059,2018,2018-04-09,5,ACCIDENT,N/A,CANADA,QUEBEC,N/A,Chicoutimi,102.000000000000000,St-Honore,CYRC,48.52083,-71.0505,0,0,0,0,0,0,NO,AEROPLANE,CESSNA,CENTRE QUEBECOIS DE FORMATION AERONAUTIQUE (CQFA),COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A18Q0061,2018,2018-05-07,5,INCIDENT REPORTABLE,RUNWAY EXCURSION,CANADA,QUEBEC,N/A,KUUJJUAQ,,KUUJJUAQ,CYVP,58.095,-68.4222,0,0,0,0,0,0,NO,AEROPLANE,DE HAVILLAND,JOHNNY MAY AIR CHARTERS,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A18Q0062,2018,2018-05-07,5,INCIDENT REPORTABLE,EMERGENCY/PRIORITY,CANADA,QUEBEC,N/A,Montreal,,Pierre Elliott Trudeau Intl,CYUL,45.47055,-73.7408,0,0,0,0,0,0,NO,AEROPLANE,EMBRAER,SKY REGIONAL AIRLINES INC.,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A18Q0063,2018,2018-05-15,5,INCIDENT REPORTABLE,COLLISION,CANADA,QUEBEC,N/A,Montreal,,Pierre Elliott Trudeau Intl,CYUL,45.47055,-73.7408,0,0,0,0,0,0,NO,AEROPLANE,CESSNA,CASTLE AVIATION,COMMERCIAL,UNITED STATES,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A18Q0064,2018,2018-04-21,5,INCIDENT REPORTABLE,UNABLE TO PERFORM,CANADA,QUEBEC,N/A,Montreal,,Pierre Elliott Trudeau Intl,CYUL,45.47055,-73.7408,0,0,0,0,0,0,NO,AEROPLANE,AIRBUS,AIR CANADA ROUGE,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A18Q0065,2018,2018-04-26,5,INCIDENT REPORTABLE,EMERGENCY/PRIORITY,CANADA,QUEBEC,N/A,Montreal,,Pierre Elliott Trudeau Intl,CYUL,45.47055,-73.7408,0,0,0,0,0,0,NO,AEROPLANE,EMBRAER,SKY REGIONAL AIRLINES INC.,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A18Q0066,2018,2018-04-25,5,INCIDENT REPORTABLE,COLLISION,CANADA,QUEBEC,N/A,Montreal,,Pierre Elliott Trudeau Intl,CYUL,45.47055,-73.7408,0,0,0,0,0,0,NO,AEROPLANE,AIRBUS,SWISS INTERNATIONAL AIR LINES,COMMERCIAL,SWITZERLAND,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A18Q0067,2018,2018-03-15,5,INCIDENT REPORTABLE,COLLISION,CANADA,QUEBEC,N/A,CHISASIBI,,CHISASIBI,CSU2,53.80583,-78.9169,0,0,0,0,0,0,NO,AEROPLANE,DE HAVILLAND,AIR CREEBEC,COMMERCIAL,CANADA,AEROPLANE,BOMBARDIER,AIR CREEBEC,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A18Q0068,2018,2018-05-19,5,INCIDENT REPORTABLE,ENGINE,CANADA,QUEBEC,N/A,Montreal,47.000000000000000,Pierre Elliott Trudeau Intl,CYUL,46.15,-74.15,0,0,0,0,0,0,NO,AEROPLANE,BOMBARDIER,JAZZ AVIATION LP,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A18Q0069,2018,2018-05-16,3,INCIDENT REPORTABLE,LOSS OF SEPARATION,CANADA,QUEBEC,N/A,Montreal,18.000000000000000,Pierre Elliott Trudeau Intl,CYUL,45.71666,-73.5,0,0,0,0,0,0,NO,AEROPLANE,CESSNA,FORSO AVIATION,PRIVATE,CANADA,AEROPLANE,AIRBUS,AIR TRANSAT,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A18Q0070,2018,2018-05-19,5,INCIDENT REPORTABLE,EMERGENCY/PRIORITY,CANADA,QUEBEC,N/A,Montreal,17.000000000000000,Pierre Elliott Trudeau Intl,CYUL,45.65,-73.6166,0,0,0,0,0,0,NO,AEROPLANE,BOMBARDIER,JAZZ AVIATION LP,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A18Q0071,2018,2018-04-21,5,INCIDENT REPORTABLE,RISK OF COLLISION,CANADA,QUEBEC,N/A,SEPT-ÎLES,2.000000000000000,SEPT-ÎLES,CYZV,50.22333,-66.2655,0,0,0,0,0,0,NO,AEROPLANE,BEECH,STRAIT AIR,COMMERCIAL,CANADA,AEROPLANE,BEECH,AIR INUIT,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A18Q0072,2018,2018-05-12,5,ACCIDENT,N/A,CANADA,QUEBEC,N/A,St-Frédéric,,St-Frédéric,CSZ4,46.33138,-70.9608,0,0,0,0,0,0,NO,AEROPLANE,CESSNA,GRONDIN TRANSPORT INC,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
A18Q0073,2018,2018-05-28,5,ACCIDENT,N/A,CANADA,QUEBEC,N/A,ST-JEAN,,ST-JEAN,CYJN,45.29444,-73.2816,0,0,0,0,0,0,NO,AEROPLANE,CESSNA,DORVAL AVIATION,COMMERCIAL,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-29T13:28:51
